‾	overstrek
👩🏾‍❤‍💋‍👨🏽	hudtype 4, hudtype 5, kvinne, kyss, kyss: kvinne, mann, hudtype 5, hudtype 4, kyssing, mann, mennesker, romantikk
👩🏾‍❤‍💋‍👨🏾	hudtype 5, kvinne, kyss, kyss: kvinne, mann, hudtype 5, kyssing, mann, mennesker, romantikk
👩🏾‍❤‍💋‍👨🏿	hudtype 5, hudtype 6, kvinne, kyss, kyss: kvinne, mann, hudtype 5, hudtype 6, kyssing, mann, mennesker, romantikk
👩🏿‍❤‍💋‍👨🏻	hudtype 1–2, hudtype 6, kvinne, kyss, kyss: kvinne, mann, hudtype 6, hudtype 1–2, kyssing, mann, mennesker, romantikk
👩🏿‍❤‍💋‍👨🏼	hudtype 3, hudtype 6, kvinne, kyss, kyss: kvinne, mann, hudtype 6, hudtype 3, kyssing, mann, mennesker, romantikk
👩🏿‍❤‍💋‍👨🏽	hudtype 4, hudtype 6, kvinne, kyss, kyss: kvinne, mann, hudtype 6, hudtype 4, kyssing, mann, mennesker, romantikk
👩🏿‍❤‍💋‍👨🏾	hudtype 5, hudtype 6, kvinne, kyss, kyss: kvinne, mann, hudtype 6, hudtype 5, kyssing, mann, mennesker, romantikk
👩🏿‍❤‍💋‍👨🏿	hudtype 6, kvinne, kyss, kyss: kvinne, mann, hudtype 6, kyssing, mann, mennesker, romantikk
👩🏻‍❤‍💋‍👩🏻	hudtype 1–2, kvinne, kyss, kyss: kvinne, kvinne, hudtype 1–2, kyssing, mennesker, romantikk
👩🏻‍❤‍💋‍👩🏼	hudtype 1–2, hudtype 3, kvinne, kyss, kyss: kvinne, kvinne, hudtype 1–2, hudtype 3, kyssing, mennesker, romantikk
👩🏻‍❤‍💋‍👩🏽	hudtype 1–2, hudtype 4, kvinne, kyss, kyss: kvinne, kvinne, hudtype 1–2, hudtype 4, kyssing, mennesker, romantikk
👩🏻‍❤‍💋‍👩🏾	hudtype 1–2, hudtype 5, kvinne, kyss, kyss: kvinne, kvinne, hudtype 1–2, hudtype 5, kyssing, mennesker, romantikk
👩🏻‍❤‍💋‍👩🏿	hudtype 1–2, hudtype 6, kvinne, kyss, kyss: kvinne, kvinne, hudtype 1–2, hudtype 6, kyssing, mennesker, romantikk
👩🏼‍❤‍💋‍👩🏻	hudtype 1–2, hudtype 3, kvinne, kyss, kyss: kvinne, kvinne, hudtype 3, hudtype 1–2, kyssing, mennesker, romantikk
👩🏼‍❤‍💋‍👩🏼	hudtype 3, kvinne, kyss, kyss: kvinne, kvinne, hudtype 3, kyssing, mennesker, romantikk
👩🏼‍❤‍💋‍👩🏽	hudtype 3, hudtype 4, kvinne, kyss, kyss: kvinne, kvinne, hudtype 3, hudtype 4, kyssing, mennesker, romantikk
👩🏼‍❤‍💋‍👩🏾	hudtype 3, hudtype 5, kvinne, kyss, kyss: kvinne, kvinne, hudtype 3, hudtype 5, kyssing, mennesker, romantikk
👩🏼‍❤‍💋‍👩🏿	hudtype 3, hudtype 6, kvinne, kyss, kyss: kvinne, kvinne, hudtype 3, hudtype 6, kyssing, mennesker, romantikk
👩🏽‍❤‍💋‍👩🏻	hudtype 1–2, hudtype 4, kvinne, kyss, kyss: kvinne, kvinne, hudtype 4, hudtype 1–2, kyssing, mennesker, romantikk
👩🏽‍❤‍💋‍👩🏼	hudtype 3, hudtype 4, kvinne, kyss, kyss: kvinne, kvinne, hudtype 4, hudtype 3, kyssing, mennesker, romantikk
👩🏽‍❤‍💋‍👩🏽	hudtype 4, kvinne, kyss, kyss: kvinne, kvinne, hudtype 4, kyssing, mennesker, romantikk
👩🏽‍❤‍💋‍👩🏾	hudtype 4, hudtype 5, kvinne, kyss, kyss: kvinne, kvinne, hudtype 4, hudtype 5, kyssing, mennesker, romantikk
👩🏽‍❤‍💋‍👩🏿	hudtype 4, hudtype 6, kvinne, kyss, kyss: kvinne, kvinne, hudtype 4, hudtype 6, kyssing, mennesker, romantikk
👩🏾‍❤‍💋‍👩🏻	hudtype 1–2, hudtype 5, kvinne, kyss, kyss: kvinne, kvinne, hudtype 5, hudtype 1–2, kyssing, mennesker, romantikk
👩🏾‍❤‍💋‍👩🏼	hudtype 3, hudtype 5, kvinne, kyss, kyss: kvinne, kvinne, hudtype 5, hudtype 3, kyssing, mennesker, romantikk
👩🏾‍❤‍💋‍👩🏽	hudtype 4, hudtype 5, kvinne, kyss, kyss: kvinne, kvinne, hudtype 5, hudtype 4, kyssing, mennesker, romantikk
👩🏾‍❤‍💋‍👩🏾	hudtype 5, kvinne, kyss, kyss: kvinne, kvinne, hudtype 5, kyssing, mennesker, romantikk
👩🏾‍❤‍💋‍👩🏿	hudtype 5, hudtype 6, kvinne, kyss, kyss: kvinne, kvinne, hudtype 5, hudtype 6, kyssing, mennesker, romantikk
👩🏿‍❤‍💋‍👩🏻	hudtype 1–2, hudtype 6, kvinne, kyss, kyss: kvinne, kvinne, hudtype 6, hudtype 1–2, kyssing, mennesker, romantikk
👩🏿‍❤‍💋‍👩🏼	hudtype 3, hudtype 6, kvinne, kyss, kyss: kvinne, kvinne, hudtype 6, hudtype 3, kyssing, mennesker, romantikk
👩🏿‍❤‍💋‍👩🏽	hudtype 4, hudtype 6, kvinne, kyss, kyss: kvinne, kvinne, hudtype 6, hudtype 4, kyssing, mennesker, romantikk
👩🏿‍❤‍💋‍👩🏾	hudtype 5, hudtype 6, kvinne, kyss, kyss: kvinne, kvinne, hudtype 6, hudtype 5, kyssing, mennesker, romantikk
👩🏿‍❤‍💋‍👩🏿	hudtype 6, kvinne, kyss, kyss: kvinne, kvinne, hudtype 6, kyssing, mennesker, romantikk
👩🏻‍❤‍👨🏻	hjerte, hudtype 1–2, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 1–2, romantikk
👩🏻‍❤‍👨🏼	hjerte, hudtype 1–2, hudtype 3, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 1–2, hudtype 3, romantikk
👩🏻‍❤‍👨🏽	hjerte, hudtype 1–2, hudtype 4, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 1–2, hudtype 4, romantikk
👩🏻‍❤‍👨🏾	hjerte, hudtype 1–2, hudtype 5, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 1–2, hudtype 5, romantikk
👩🏻‍❤‍👨🏿	hjerte, hudtype 1–2, hudtype 6, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 1–2, hudtype 6, romantikk
👩🏼‍❤‍👨🏻	hjerte, hudtype 1–2, hudtype 3, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 3, hudtype 1–2, romantikk
👩🏼‍❤‍👨🏼	hjerte, hudtype 3, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 3, romantikk
👩🏼‍❤‍👨🏽	hjerte, hudtype 3, hudtype 4, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 3, hudtype 4, romantikk
👩🏼‍❤‍👨🏾	hjerte, hudtype 3, hudtype 5, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 3, hudtype 5, romantikk
👩🏼‍❤‍👨🏿	hjerte, hudtype 3, hudtype 6, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 3, hudtype 6, romantikk
👩🏽‍❤‍👨🏻	hjerte, hudtype 1–2, hudtype 4, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 4, hudtype 1–2, romantikk
👩🏽‍❤‍👨🏼	hjerte, hudtype 3, hudtype 4, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 4, hudtype 3, romantikk
👩🏽‍❤‍👨🏽	hjerte, hudtype 4, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 4, romantikk
👩🏽‍❤‍👨🏾	hjerte, hudtype 4, hudtype 5, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 4, hudtype 5, romantikk
👩🏽‍❤‍👨🏿	hjerte, hudtype 4, hudtype 6, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 4, hudtype 6, romantikk
👩🏾‍❤‍👨🏻	hjerte, hudtype 1–2, hudtype 5, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 5, hudtype 1–2, romantikk
👩🏾‍❤‍👨🏼	hjerte, hudtype 3, hudtype 5, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 5, hudtype 3, romantikk
👩🏾‍❤‍👨🏽	hjerte, hudtype 4, hudtype 5, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 5, hudtype 4, romantikk
👩🏾‍❤‍👨🏾	hjerte, hudtype 5, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 5, romantikk
👩🏾‍❤‍👨🏿	hjerte, hudtype 5, hudtype 6, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 5, hudtype 6, romantikk
👩🏿‍❤‍👨🏻	hjerte, hudtype 1–2, hudtype 6, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 6, hudtype 1–2, romantikk
👩🏿‍❤‍👨🏼	hjerte, hudtype 3, hudtype 6, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 6, hudtype 3, romantikk
👩🏿‍❤‍👨🏽	hjerte, hudtype 4, hudtype 6, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 6, hudtype 4, romantikk
👩🏿‍❤‍👨🏾	hjerte, hudtype 5, hudtype 6, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 6, hudtype 5, romantikk
👩🏿‍❤‍👨🏿	hjerte, hudtype 6, kjærlighet, kvinne, mann, mennesker, par med hjerte, par med hjerte: kvinne, mann, hudtype 6, romantikk
👩🏻‍❤‍👩🏻	hjerte, hudtype 1–2, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 1–2, romantikk
👩🏻‍❤‍👩🏼	hjerte, hudtype 1–2, hudtype 3, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 1–2, hudtype 3, romantikk
👩🏻‍❤‍👩🏽	hjerte, hudtype 1–2, hudtype 4, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 1–2, hudtype 4, romantikk
👩🏻‍❤‍👩🏾	hjerte, hudtype 1–2, hudtype 5, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 1–2, hudtype 5, romantikk
👩🏻‍❤‍👩🏿	hjerte, hudtype 1–2, hudtype 6, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 1–2, hudtype 6, romantikk
👩🏼‍❤‍👩🏻	hjerte, hudtype 1–2, hudtype 3, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 3, hudtype 1–2, romantikk
👩🏼‍❤‍👩🏼	hjerte, hudtype 3, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 3, romantikk
👩🏼‍❤‍👩🏽	hjerte, hudtype 3, hudtype 4, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 3, hudtype 4, romantikk
👩🏼‍❤‍👩🏾	hjerte, hudtype 3, hudtype 5, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 3, hudtype 5, romantikk
👩🏼‍❤‍👩🏿	hjerte, hudtype 3, hudtype 6, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 3, hudtype 6, romantikk
👩🏽‍❤‍👩🏻	hjerte, hudtype 1–2, hudtype 4, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 4, hudtype 1–2, romantikk
👩🏽‍❤‍👩🏼	hjerte, hudtype 3, hudtype 4, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 4, hudtype 3, romantikk
👩🏽‍❤‍👩🏽	hjerte, hudtype 4, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 4, romantikk
👩🏽‍❤‍👩🏾	hjerte, hudtype 4, hudtype 5, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 4, hudtype 5, romantikk
👩🏽‍❤‍👩🏿	hjerte, hudtype 4, hudtype 6, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 4, hudtype 6, romantikk
👩🏾‍❤‍👩🏻	hjerte, hudtype 1–2, hudtype 5, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 5, hudtype 1–2, romantikk
👩🏾‍❤‍👩🏼	hjerte, hudtype 3, hudtype 5, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 5, hudtype 3, romantikk
👩🏾‍❤‍👩🏽	hjerte, hudtype 4, hudtype 5, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 5, hudtype 4, romantikk
👩🏾‍❤‍👩🏾	hjerte, hudtype 5, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 5, romantikk
👩🏾‍❤‍👩🏿	hjerte, hudtype 5, hudtype 6, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 5, hudtype 6, romantikk
👩🏿‍❤‍👩🏻	hjerte, hudtype 1–2, hudtype 6, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 6, hudtype 1–2, romantikk
👩🏿‍❤‍👩🏼	hjerte, hudtype 3, hudtype 6, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 6, hudtype 3, romantikk
👩🏿‍❤‍👩🏽	hjerte, hudtype 4, hudtype 6, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 6, hudtype 4, romantikk
👩🏿‍❤‍👩🏾	hjerte, hudtype 5, hudtype 6, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 6, hudtype 5, romantikk
👩🏿‍❤‍👩🏿	hjerte, hudtype 6, kjærlighet, kvinne, mennesker, par med hjerte, par med hjerte: kvinne, kvinne, hudtype 6, romantikk
👩‍🦰	kvinne, kvinne: rødt hår, menneske, rødt hår, voksen
👩🏻‍🦰	hudtype 1–2, kvinne, kvinne: hudtype 1–2, rødt hår, menneske, rødt hår, voksen
👩🏼‍🦰	hudtype 3, kvinne, kvinne: hudtype 3, rødt hår, menneske, rødt hår, voksen
👩🏽‍🦰	hudtype 4, kvinne, kvinne: hudtype 4, rødt hår, menneske, rødt hår, voksen
👩🏾‍🦰	hudtype 5, kvinne, kvinne: hudtype 5, rødt hår, menneske, rødt hår, voksen
👩🏿‍🦰	hudtype 6, kvinne, kvinne: hudtype 6, rødt hår, menneske, rødt hår, voksen
👩‍🦱	kruset hår, kvinne, kvinne: kruset hår, menneske, voksen
👩🏻‍🦱	hudtype 1–2, kruset hår, kvinne, kvinne: hudtype 1–2, kruset hår, menneske, voksen
👩🏼‍🦱	hudtype 3, kruset hår, kvinne, kvinne: hudtype 3, kruset hår, menneske, voksen
👩🏽‍🦱	hudtype 4, kruset hår, kvinne, kvinne: hudtype 4, kruset hår, menneske, voksen
👩🏾‍🦱	hudtype 5, kruset hår, kvinne, kvinne: hudtype 5, kruset hår, menneske, voksen
👩🏿‍🦱	hudtype 6, kruset hår, kvinne, kvinne: hudtype 6, kruset hår, menneske, voksen
👩‍🦳	grått hår, kvinne, kvinne: grått hår, menneske, voksen
👩🏻‍🦳	grått hår, hudtype 1–2, kvinne, kvinne: hudtype 1–2, grått hår, menneske, voksen
👩🏼‍🦳	grått hår, hudtype 3, kvinne, kvinne: hudtype 3, grått hår, menneske, voksen
👩🏽‍🦳	grått hår, hudtype 4, kvinne, kvinne: hudtype 4, grått hår, menneske, voksen
👩🏾‍🦳	grått hår, hudtype 5, kvinne, kvinne: hudtype 5, grått hår, menneske, voksen
👩🏿‍🦳	grått hår, hudtype 6, kvinne, kvinne: hudtype 6, grått hår, menneske, voksen
👩‍🦲	kvinne, kvinne: skallet, menneske, skallet, voksen
👩🏻‍🦲	hudtype 1–2, kvinne, kvinne: hudtype 1–2, skallet, menneske, skallet, voksen
👩🏼‍🦲	hudtype 3, kvinne, kvinne: hudtype 3, skallet, menneske, skallet, voksen
👩🏽‍🦲	hudtype 4, kvinne, kvinne: hudtype 4, skallet, menneske, skallet, voksen
👩🏾‍🦲	hudtype 5, kvinne, kvinne: hudtype 5, skallet, menneske, skallet, voksen
👩🏿‍🦲	hudtype 6, kvinne, kvinne: hudtype 6, skallet, menneske, skallet, voksen
🧓	eldre, eldre voksen, gammel, menneske, senior, voksen
🧓🏻	eldre, eldre voksen: hudtype 1–2, gammel, hudtype 1–2, menneske, senior, voksen
🧓🏼	eldre, eldre voksen: hudtype 3, gammel, hudtype 3, menneske, senior, voksen
🧓🏽	eldre, eldre voksen: hudtype 4, gammel, hudtype 4, menneske, senior, voksen
🧓🏾	eldre, eldre voksen: hudtype 5, gammel, hudtype 5, menneske, senior, voksen
🧓🏿	eldre, eldre voksen: hudtype 6, gammel, hudtype 6, menneske, senior, voksen
👴	bestefar, eldre, eldre mann, fyr, gubbe, klok, mann, mister håret, morfar
👴🏻	bestefar, eldre, eldre mann: hudtype 1–2, fyr, gubbe, hudtype 1–2, klok, mann, mister håret, morfar
👴🏼	bestefar, eldre, eldre mann: hudtype 3, fyr, gubbe, hudtype 3, klok, mann, mister håret, morfar
👴🏽	bestefar, eldre, eldre mann: hudtype 4, fyr, gubbe, hudtype 4, klok, mann, mister håret, morfar
👴🏾	bestefar, eldre, eldre mann: hudtype 5, fyr, gubbe, hudtype 5, klok, mann, mister håret, morfar
👴🏿	bestefar, eldre, eldre mann: hudtype 6, fyr, gubbe, hudtype 6, klok, mann, mister håret, morfar
👵	bestemor, dame, eldre, eldre kvinne, gammel, kjerring, klok, kvinne, mormor
👵🏻	bestemor, dame, eldre, eldre kvinne: hudtype 1–2, gammel, hudtype 1–2, kjerring, klok, kvinne, mormor
👵🏼	bestemor, dame, eldre, eldre kvinne: hudtype 3, gammel, hudtype 3, kjerring, klok, kvinne, mormor
👵🏽	bestemor, dame, eldre, eldre kvinne: hudtype 4, gammel, hudtype 4, kjerring, klok, kvinne, mormor
👵🏾	bestemor, dame, eldre, eldre kvinne: hudtype 5, gammel, hudtype 5, kjerring, klok, kvinne, mormor
👵🏿	bestemor, dame, eldre, eldre kvinne: hudtype 6, gammel, hudtype 6, kjerring, klok, kvinne, mormor
🙍	frustrert, ikke fornøyd, irritert, mimikk, misfornøyd, person, rynker brynene, rynker pannen, skuffet, sur
🙍🏻	frustrert, hudtype 1–2, ikke fornøyd, irritert, mimikk, misfornøyd, person, rynker brynene, rynker brynene: hudtype 1–2, rynker pannen, skuffet, sur
🙍🏼	frustrert, hudtype 3, ikke fornøyd, irritert, mimikk, misfornøyd, person, rynker brynene, rynker brynene: hudtype 3, rynker pannen, skuffet, sur
🙍🏽	frustrert, hudtype 4, ikke fornøyd, irritert, mimikk, misfornøyd, person, rynker brynene, rynker brynene: hudtype 4, rynker pannen, skuffet, sur
🙍🏾	frustrert, hudtype 5, ikke fornøyd, irritert, mimikk, misfornøyd, person, rynker brynene, rynker brynene: hudtype 5, rynker pannen, skuffet, sur
🙍🏿	frustrert, hudtype 6, ikke fornøyd, irritert, mimikk, misfornøyd, person, rynker brynene, rynker brynene: hudtype 6, rynker pannen, skuffet, sur
🙍‍♂	mann, mann som rynker brynene, mimikk, rynker pannen, skeptisk
🙍🏻‍♂	hudtype 1–2, mann, mann som rynker brynene, mann som rynker brynene: hudtype 1–2, mimikk, rynker pannen, skeptisk
🙍🏼‍♂	hudtype 3, mann, mann som rynker brynene, mann som rynker brynene: hudtype 3, mimikk, rynker pannen, skeptisk
🙍🏽‍♂	hudtype 4, mann, mann som rynker brynene, mann som rynker brynene: hudtype 4, mimikk, rynker pannen, skeptisk
🙍🏾‍♂	hudtype 5, mann, mann som rynker brynene, mann som rynker brynene: hudtype 5, mimikk, rynker pannen, skeptisk
🙍🏿‍♂	hudtype 6, mann, mann som rynker brynene, mann som rynker brynene: hudtype 6, mimikk, rynker pannen, skeptisk
🙍‍♀	kvinne, kvinne som rynker brynene, mimikk, rynker pannen, skeptisk
🙍🏻‍♀	hudtype 1–2, kvinne, kvinne som rynker brynene, kvinne som rynker brynene: hudtype 1–2, mimikk, rynker pannen, skeptisk
🙍🏼‍♀	hudtype 3, kvinne, kvinne som rynker brynene, kvinne som rynker brynene: hudtype 3, mimikk, rynker pannen, skeptisk
🙍🏽‍♀	hudtype 4, kvinne, kvinne som rynker brynene, kvinne som rynker brynene: hudtype 4, mimikk, rynker pannen, skeptisk
🙍🏾‍♀	hudtype 5, kvinne, kvinne som rynker brynene, kvinne som rynker brynene: hudtype 5, mimikk, rynker pannen, skeptisk
🙍🏿‍♀	hudtype 6, kvinne, kvinne som rynker brynene, kvinne som rynker brynene: hudtype 6, mimikk, rynker pannen, skeptisk
🙎	furter, furting, grimase, mimikk, opprørt, person, skuffet, surmuling
🙎🏻	furter, furter: hudtype 1–2, furting, grimase, hudtype 1–2, mimikk, opprørt, person, skuffet, surmuling
🙎🏼	furter, furter: hudtype 3, furting, grimase, hudtype 3, mimikk, opprørt, person, skuffet, surmuling
🙎🏽	furter, furter: hudtype 4, furting, grimase, hudtype 4, mimikk, opprørt, person, skuffet, surmuling
🙎🏾	furter, furter: hudtype 5, furting, grimase, hudtype 5, mimikk, opprørt, person, skuffet, surmuling
🙎🏿	furter, furter: hudtype 6, furting, grimase, hudtype 6, mimikk, opprørt, person, skuffet, surmuling
🙎‍♂	furting, mann, mann som furter, mimikk, surmuling
🙎🏻‍♂	furting, hudtype 1–2, mann, mann som furter, mann som furter: hudtype 1–2, mimikk, surmuling
🙎🏼‍♂	furting, hudtype 3, mann, mann som furter, mann som furter: hudtype 3, mimikk, surmuling
🙎🏽‍♂	furting, hudtype 4, mann, mann som furter, mann som furter: hudtype 4, mimikk, surmuling
🙎🏾‍♂	furting, hudtype 5, mann, mann som furter, mann som furter: hudtype 5, mimikk, surmuling
🙎🏿‍♂	furting, hudtype 6, mann, mann som furter, mann som furter: hudtype 6, mimikk, surmuling
🙎‍♀	furting, kvinne, kvinne som furter, mimikk, surmuling
🙎🏻‍♀	furting, hudtype 1–2, kvinne, kvinne som furter, kvinne som furter: hudtype 1–2, mimikk, surmuling
🙎🏼‍♀	furting, hudtype 3, kvinne, kvinne som furter, kvinne som furter: hudtype 3, mimikk, surmuling
🙎🏽‍♀	furting, hudtype 4, kvinne, kvinne som furter, kvinne som furter: hudtype 4, mimikk, surmuling
🙎🏾‍♀	furting, hudtype 5, kvinne, kvinne som furter, kvinne som furter: hudtype 5, mimikk, surmuling
🙎🏿‍♀	furting, hudtype 6, kvinne, kvinne som furter, kvinne som furter: hudtype 6, mimikk, surmuling
🙅	forbudt, gestikulerer NEI, hånd, ikke, ikke lov, mimikk, nei, person, uaktuelt
🙅🏻	forbudt, gestikulerer NEI: hudtype 1–2, hudtype 1–2, hånd, ikke, ikke lov, mimikk, nei, person, uaktuelt
🙅🏼	forbudt, gestikulerer NEI: hudtype 3, hudtype 3, hånd, ikke, ikke lov, mimikk, nei, person, uaktuelt
🙅🏽	forbudt, gestikulerer NEI: hudtype 4, hudtype 4, hånd, ikke, ikke lov, mimikk, nei, person, uaktuelt
🙅🏾	forbudt, gestikulerer NEI: hudtype 5, hudtype 5, hånd, ikke, ikke lov, mimikk, nei, person, uaktuelt
🙅🏿	forbudt, gestikulerer NEI: hudtype 6, hudtype 6, hånd, ikke, ikke lov, mimikk, nei, person, uaktuelt
🙅‍♂	avbryt, forbudt, mann, mann som gestikulerer NEI, nei, stopp
🙅🏻‍♂	avbryt, forbudt, hudtype 1–2, mann, mann som gestikulerer NEI, mann som gestikulerer NEI: hudtype 1–2, nei, stopp
🙅🏼‍♂	avbryt, forbudt, hudtype 3, mann, mann som gestikulerer NEI, mann som gestikulerer NEI: hudtype 3, nei, stopp
🙅🏽‍♂	avbryt, forbudt, hudtype 4, mann, mann som gestikulerer NEI, mann som gestikulerer NEI: hudtype 4, nei, stopp
🙅🏾‍♂	avbryt, forbudt, hudtype 5, mann, mann som gestikulerer NEI, mann som gestikulerer NEI: hudtype 5, nei, stopp
🙅🏿‍♂	avbryt, forbudt, hudtype 6, mann, mann som gestikulerer NEI, mann som gestikulerer NEI: hudtype 6, nei, stopp
🙅‍♀	avbryt, forbudt, kvinne, kvinne som gestikulerer NEI, nei, stopp
🙅🏻‍♀	avbryt, forbudt, hudtype 1–2, kvinne, kvinne som gestikulerer NEI, kvinne som gestikulerer NEI: hudtype 1–2, nei, stopp
🙅🏼‍♀	avbryt, forbudt, hudtype 3, kvinne, kvinne som gestikulerer NEI, kvinne som gestikulerer NEI: hudtype 3, nei, stopp
🙅🏽‍♀	avbryt, forbudt, hudtype 4, kvinne, kvinne som gestikulerer NEI, kvinne som gestikulerer NEI: hudtype 4, nei, stopp
🙅🏾‍♀	avbryt, forbudt, hudtype 5, kvinne, kvinne som gestikulerer NEI, kvinne som gestikulerer NEI: hudtype 5, nei, stopp
🙅🏿‍♀	avbryt, forbudt, hudtype 6, kvinne, kvinne som gestikulerer NEI, kvinne som gestikulerer NEI: hudtype 6, nei, stopp
🙆	gestikulerer, gestikulerer OK, greit, hånd, ok, person
🙆🏻	gestikulerer, gestikulerer OK: hudtype 1–2, greit, hudtype 1–2, hånd, ok, person
🙆🏼	gestikulerer, gestikulerer OK: hudtype 3, greit, hudtype 3, hånd, ok, person
🙆🏽	gestikulerer, gestikulerer OK: hudtype 4, greit, hudtype 4, hånd, ok, person
🙆🏾	gestikulerer, gestikulerer OK: hudtype 5, greit, hudtype 5, hånd, ok, person
🙆🏿	gestikulerer, gestikulerer OK: hudtype 6, greit, hudtype 6, hånd, ok, person
🙆‍♂	greit, mann, mann som gestikulerer OK, ok
🙆🏻‍♂	greit, hudtype 1–2, mann, mann som gestikulerer OK, mann som gestikulerer OK: hudtype 1–2, ok
🙆🏼‍♂	greit, hudtype 3, mann, mann som gestikulerer OK, mann som gestikulerer OK: hudtype 3, ok
🙆🏽‍♂	greit, hudtype 4, mann, mann som gestikulerer OK, mann som gestikulerer OK: hudtype 4, ok
🙆🏾‍♂	greit, hudtype 5, mann, mann som gestikulerer OK, mann som gestikulerer OK: hudtype 5, ok
🙆🏿‍♂	greit, hudtype 6, mann, mann som gestikulerer OK, mann som gestikulerer OK: hudtype 6, ok
🙆‍♀	greit, kvinne, kvinne som gestikulerer OK, ok
🙆🏻‍♀	greit, hudtype 1–2, kvinne, kvinne som gestikulerer OK, kvinne som gestikulerer OK: hudtype 1–2, ok
🙆🏼‍♀	greit, hudtype 3, kvinne, kvinne som gestikulerer OK, kvinne som gestikulerer OK: hudtype 3, ok
