،	Arabic, Arabic comma, comma
◙	black square containing white circle, filled square containing hollow circle
◜	upper-left quadrant circular arc
◝	upper-right quadrant circular arc
◞	lower-right quadrant circular arc
◟	lower-left quadrant circular arc
◢	black lower-right triangle, filled lower-right triangle
◣	black lower-left triangle, filled lower-left triangle
◤	black upper-left triangle, filled upper-left triangle
◥	black upper-right triangle, filled upper-right triangle
◯	circle, large hollow circle, large white circle, ring
◳	hollow square with upper-right quadrant, white square with upper-right quadrant
◷	hollow circle with upper-right quadrant, white circle with upper-right quadrant
◿	lower-right triangle, white
⨧	plus sign with subscript two
⨯	cross product, vector, vector or cross product
⨼	interior product, mathematics
⩣	logical or with double underbar, mathematics
⩽	inequality, less-than or slanted equal to, mathematics
⪍	less-than above similar or equal
⪚	double-line equal to or greater-than, inequality, mathematics
🙃	face, upside down, upside-down face
😍	eye, face, love, smile, smiling face with heart eyes, smiling face with heart-eyes
😋	delicious, face, face savouring food, savoring, savouring, smile, yum
🤭	face with hand over mouth, oops, whoops
🫥	depressed, disappear, dotted line face, dotted-line face, hide, introvert, invisible
🤥	Pinocchio, face, lie, lying face
😷	cold, doctor, face, face with medical mask, ill, mask, sick
🤕	bandage, face, face with head bandage, face with head-bandage, hurt, injury
🤧	bless you, face, gesundheit, sneeze, sneezing face
🤠	cowboy, cowgirl, face, face with cowboy hat, hat
😤	angry, face, face with steam from nose, frustration, triumph, won
👽️	ET, UFO, alien, creature, extraterrestrial, face, fantasy
👾	ET, UFO, alien, creature, extraterrestrial, face, monster
😻	cat, eye, face, heart, love, smile, smiling cat face with heart eyes, smiling cat with heart-eyes
💯	100, full, hundred, hundred percent, hundred points, one hundred, score
💬	balloon, bubble, comic, dialog, dialogue, speech
🗨️	balloon, bubble, dialog, dialogue, left speech bubble, speech
🖖	Spock, Vulcan, Vulcan salute, finger, hand
🖖🏻	Spock, Vulcan, Vulcan salute, Vulcan salute: light skin tone, finger, hand, light skin tone
🖖🏼	Spock, Vulcan, Vulcan salute, Vulcan salute: medium-light skin tone, finger, hand, medium-light skin tone
🖖🏽	Spock, Vulcan, Vulcan salute, Vulcan salute: medium skin tone, finger, hand, medium skin tone
🖖🏾	Spock, Vulcan, Vulcan salute, Vulcan salute: medium-dark skin tone, finger, hand, medium-dark skin tone
🖖🏿	Spock, Vulcan, Vulcan salute, Vulcan salute: dark skin tone, dark skin tone, finger, hand
🫱	hand, right, rightward, rightward hand, rightwards
🫱🏻	hand, light skin tone, right, rightward, rightward hand: light skin tone, rightwards
🫱🏼	hand, medium-light skin tone, right, rightward, rightward hand: medium-light skin tone, rightwards
🫱🏽	hand, medium skin tone, right, rightward, rightward hand: medium skin tone, rightwards
🫱🏾	hand, medium-dark skin tone, right, rightward, rightward hand: medium-dark skin tone, rightwards
🫱🏿	dark skin tone, hand, right, rightward, rightward hand: dark skin tone, rightwards
🫲	hand, left, leftward, leftward hand, leftwards
🫲🏻	hand, left, leftward, leftward hand: light skin tone, leftwards, light skin tone
🫲🏼	hand, left, leftward, leftward hand: medium-light skin tone, leftwards, medium-light skin tone
🫲🏽	hand, left, leftward, leftward hand: medium skin tone, leftwards, medium skin tone
🫲🏾	hand, left, leftward, leftward hand: medium-dark skin tone, leftwards, medium-dark skin tone
🫲🏿	dark skin tone, hand, left, leftward, leftward hand: dark skin tone, leftwards
🫳	dismiss, drop, palm down hand, palm-down hand, shoo
🫳🏻	dismiss, drop, light skin tone, palm down hand, palm-down hand, palm-down hand: light skin tone, shoo
🫳🏼	dismiss, drop, medium-light skin tone, palm down hand, palm-down hand, palm-down hand: medium-light skin tone, shoo
🫳🏽	dismiss, drop, medium skin tone, palm down hand, palm-down hand, palm-down hand: medium skin tone, shoo
🫳🏾	dismiss, drop, medium-dark skin tone, palm down hand, palm-down hand, palm-down hand: medium-dark skin tone, shoo
🫳🏿	dark skin tone, dismiss, drop, palm down hand, palm-down hand, palm-down hand: dark skin tone, shoo
🫴	beckon, catch, come, offer, palm up hand, palm-up hand
🫴🏻	beckon, catch, come, light skin tone, offer, palm up hand, palm-up hand, palm-up hand: light skin tone
🫴🏼	beckon, catch, come, medium-light skin tone, offer, palm up hand, palm-up hand, palm-up hand: medium-light skin tone
🫴🏽	beckon, catch, come, medium skin tone, offer, palm up hand, palm-up hand, palm-up hand: medium skin tone
🫴🏾	beckon, catch, come, medium-dark skin tone, offer, palm up hand, palm-up hand, palm-up hand: medium-dark skin tone
🫴🏿	beckon, catch, come, dark skin tone, offer, palm up hand, palm-up hand, palm-up hand: dark skin tone
🫷	high five, leftward, leftward-pushing hand, leftwards pushing hand, push, refuse, stop, wait
🫷🏻	high five, leftward, leftward-pushing hand, leftward-pushing hand: light skin tone, leftwards pushing hand, light skin tone, push, refuse, stop, wait
🫷🏼	high five, leftward, leftward-pushing hand, leftward-pushing hand: medium-light skin tone, leftwards pushing hand, medium-light skin tone, push, refuse, stop, wait
🫷🏽	high five, leftward, leftward-pushing hand, leftward-pushing hand: medium skin tone, leftwards pushing hand, medium skin tone, push, refuse, stop, wait
🫷🏾	high five, leftward, leftward-pushing hand, leftward-pushing hand: medium-dark skin tone, leftwards pushing hand, medium-dark skin tone, push, refuse, stop, wait
🫷🏿	dark skin tone, high five, leftward, leftward-pushing hand, leftward-pushing hand: dark skin tone, leftwards pushing hand, push, refuse, stop, wait
🫸	high five, push, refuse, rightward, rightward-pushing hand, rightwards pushing hand, stop, wait
🫸🏻	high five, light skin tone, push, refuse, rightward, rightward-pushing hand, rightward-pushing hand: light skin tone, rightwards pushing hand, stop, wait
🫸🏼	high five, medium-light skin tone, push, refuse, rightward, rightward-pushing hand, rightward-pushing hand: medium-light skin tone, rightwards pushing hand, stop, wait
🫸🏽	high five, medium skin tone, push, refuse, rightward, rightward-pushing hand, rightward-pushing hand: medium skin tone, rightwards pushing hand, stop, wait
🫸🏾	high five, medium-dark skin tone, push, refuse, rightward, rightward-pushing hand, rightward-pushing hand: medium-dark skin tone, rightwards pushing hand, stop, wait
🫸🏿	dark skin tone, high five, push, refuse, rightward, rightward-pushing hand, rightward-pushing hand: dark skin tone, rightwards pushing hand, stop, wait
👌	OK, hand, perfect
👌🏻	OK, hand, light skin tone, perfect
👌🏼	OK, hand, medium-light skin tone, perfect
👌🏽	OK, hand, medium skin tone, perfect
👌🏾	OK, hand, medium-dark skin tone, perfect
👌🏿	OK, dark skin tone, hand, perfect
🤞	cross, crossed fingers, finger, good luck, hand, luck
🤞🏻	cross, crossed fingers, finger, good luck, hand, light skin tone, luck
🤞🏼	cross, crossed fingers, finger, good luck, hand, luck, medium-light skin tone
🤞🏽	cross, crossed fingers, finger, good luck, hand, luck, medium skin tone
🤞🏾	cross, crossed fingers, finger, good luck, hand, luck, medium-dark skin tone
🤞🏿	cross, crossed fingers, dark skin tone, finger, good luck, hand, luck
🤟	ILY, hand, love you gesture, love-you gesture
🤟🏻	ILY, hand, light skin tone, love you gesture, love-you gesture
🤟🏼	ILY, hand, love you gesture, love-you gesture, medium-light skin tone
🤟🏽	ILY, hand, love you gesture, love-you gesture, medium skin tone
🤟🏾	ILY, hand, love you gesture, love-you gesture, medium-dark skin tone
🤟🏿	ILY, dark skin tone, hand, love you gesture, love-you gesture
🤘	finger, hand, horns, rock on, sign of the horns
🤘🏻	finger, hand, horns, light skin tone, rock on, sign of the horns
🤘🏼	finger, hand, horns, medium-light skin tone, rock on, sign of the horns
🤘🏽	finger, hand, horns, medium skin tone, rock on, sign of the horns
🤘🏾	finger, hand, horns, medium-dark skin tone, rock on, sign of the horns
🤘🏿	dark skin tone, finger, hand, horns, rock on, sign of the horns
🤙	Shaka, call, call me hand, call-me hand, hand, hang loose
🤙🏻	Shaka, call, call me hand, call-me hand, call-me hand: light skin tone, hand, hang loose, light skin tone
🤙🏼	Shaka, call, call me hand, call-me hand, call-me hand: medium-light skin tone, hand, hang loose, medium-light skin tone
🤙🏽	Shaka, call, call me hand, call-me hand, call-me hand: medium skin tone, hand, hang loose, medium skin tone
🤙🏾	Shaka, call, call me hand, call-me hand, call-me hand: medium-dark skin tone, hand, hang loose, medium-dark skin tone
🤙🏿	Shaka, call, call me hand, call-me hand, call-me hand: dark skin tone, dark skin tone, hand, hang loose
🤛	fist, left-facing fist, leftward
🤛🏻	fist, left-facing fist, leftward, light skin tone
🤛🏼	fist, left-facing fist, leftward, medium-light skin tone
🤛🏽	fist, left-facing fist, leftward, medium skin tone
🤛🏾	fist, left-facing fist, leftward, medium-dark skin tone
🤛🏿	dark skin tone, fist, left-facing fist, leftward
🤜	fist, right-facing fist, rightward
🤜🏻	fist, light skin tone, right-facing fist, rightward
🤜🏼	fist, medium-light skin tone, right-facing fist, rightward
🤜🏽	fist, medium skin tone, right-facing fist, rightward
🤜🏾	fist, medium-dark skin tone, right-facing fist, rightward
🤜🏿	dark skin tone, fist, right-facing fist, rightward
🙏	ask, folded hands, hand, high five, please, pray, thanks
🙏🏻	ask, folded hands, hand, high five, light skin tone, please, pray, thanks
🙏🏼	ask, folded hands, hand, high five, medium-light skin tone, please, pray, thanks
🙏🏽	ask, folded hands, hand, high five, medium skin tone, please, pray, thanks
🙏🏾	ask, folded hands, hand, high five, medium-dark skin tone, please, pray, thanks
🙏🏿	ask, dark skin tone, folded hands, hand, high five, please, pray, thanks
💪	biceps, comic, flex, flexed bicep, muscle
💪🏻	biceps, comic, flex, flexed bicep, flexed bicep: light skin tone, light skin tone, muscle
💪🏼	biceps, comic, flex, flexed bicep, flexed bicep: medium-light skin tone, medium-light skin tone, muscle
💪🏽	biceps, comic, flex, flexed bicep, flexed bicep: medium skin tone, medium skin tone, muscle
💪🏾	biceps, comic, flex, flexed bicep, flexed bicep: medium-dark skin tone, medium-dark skin tone, muscle
💪🏿	biceps, comic, dark skin tone, flex, flexed bicep, flexed bicep: dark skin tone, muscle
🦻	accessibility, ear with hearing aid, hard of hearing, hearing impaired
🦻🏻	accessibility, ear with hearing aid, hard of hearing, hearing impaired, light skin tone
🦻🏼	accessibility, ear with hearing aid, hard of hearing, hearing impaired, medium-light skin tone
🦻🏽	accessibility, ear with hearing aid, hard of hearing, hearing impaired, medium skin tone
🦻🏾	accessibility, ear with hearing aid, hard of hearing, hearing impaired, medium-dark skin tone
🦻🏿	accessibility, dark skin tone, ear with hearing aid, hard of hearing, hearing impaired
👧	girl, young
👧🏻	girl, light skin tone, young
👧🏼	girl, medium-light skin tone, young
👧🏽	girl, medium skin tone, young
👧🏾	girl, medium-dark skin tone, young
👧🏿	dark skin tone, girl, young
🙎	facial expression, gesture, person pouting, pouting
🙎🏻	facial expression, gesture, light skin tone, person pouting, pouting
🙎🏼	facial expression, gesture, medium-light skin tone, person pouting, pouting
🙎🏽	facial expression, gesture, medium skin tone, person pouting, pouting
🙎🏾	facial expression, gesture, medium-dark skin tone, person pouting, pouting
🙎🏿	dark skin tone, facial expression, gesture, person pouting, pouting
🧏	accessibility, deaf, deaf person, ear, hard of hearing, hear, hearing impaired
🧏🏻	accessibility, deaf, deaf person, ear, hard of hearing, hear, hearing impaired, light skin tone
🧏🏼	accessibility, deaf, deaf person, ear, hard of hearing, hear, hearing impaired, medium-light skin tone
🧏🏽	accessibility, deaf, deaf person, ear, hard of hearing, hear, hearing impaired, medium skin tone
🧏🏾	accessibility, deaf, deaf person, ear, hard of hearing, hear, hearing impaired, medium-dark skin tone
🧏🏿	accessibility, dark skin tone, deaf, deaf person, ear, hard of hearing, hear, hearing impaired
🙇‍♂	apology, bowing, favor, favour, gesture, man, sorry
🙇🏻‍♂	apology, bowing, favor, favour, gesture, light skin tone, man, sorry
🙇🏼‍♂	apology, bowing, favor, favour, gesture, man, medium-light skin tone, sorry
🙇🏽‍♂	apology, bowing, favor, favour, gesture, man, medium skin tone, sorry
🙇🏾‍♂	apology, bowing, favor, favour, gesture, man, medium-dark skin tone, sorry
🙇🏿‍♂	apology, bowing, dark skin tone, favor, favour, gesture, man, sorry
🙇‍♀	apology, bowing, favor, favour, gesture, sorry, woman
🙇🏻‍♀	apology, bowing, favor, favour, gesture, light skin tone, sorry, woman
🙇🏼‍♀	apology, bowing, favor, favour, gesture, medium-light skin tone, sorry, woman
🙇🏽‍♀	apology, bowing, favor, favour, gesture, medium skin tone, sorry, woman
🙇🏾‍♀	apology, bowing, favor, favour, gesture, medium-dark skin tone, sorry, woman
🙇🏿‍♀	apology, bowing, dark skin tone, favor, favour, gesture, sorry, woman
🧑‍⚕	doctor, health care, health worker, healthcare, nurse, therapist
🧑🏻‍⚕	doctor, health care, health worker, healthcare, light skin tone, nurse, therapist
🧑🏼‍⚕	doctor, health care, health worker, healthcare, medium-light skin tone, nurse, therapist
🧑🏽‍⚕	doctor, health care, health worker, healthcare, medium skin tone, nurse, therapist
🧑🏾‍⚕	doctor, health care, health worker, healthcare, medium-dark skin tone, nurse, therapist
🧑🏿‍⚕	dark skin tone, doctor, health care, health worker, healthcare, nurse, therapist
👨‍⚕	doctor, health care, man, man health worker, nurse, therapist
👨🏻‍⚕	doctor, health care, light skin tone, man, man health worker, nurse, therapist
👨🏼‍⚕	doctor, health care, man, man health worker, medium-light skin tone, nurse, therapist
👨🏽‍⚕	doctor, health care, man, man health worker, medium skin tone, nurse, therapist
👨🏾‍⚕	doctor, health care, man, man health worker, medium-dark skin tone, nurse, therapist
👨🏿‍⚕	dark skin tone, doctor, health care, man, man health worker, nurse, therapist
👩‍⚕	doctor, health care, nurse, therapist, woman, woman health worker
👩🏻‍⚕	doctor, health care, light skin tone, nurse, therapist, woman, woman health worker
👩🏼‍⚕	doctor, health care, medium-light skin tone, nurse, therapist, woman, woman health worker
👩🏽‍⚕	doctor, health care, medium skin tone, nurse, therapist, woman, woman health worker
👩🏾‍⚕	doctor, health care, medium-dark skin tone, nurse, therapist, woman, woman health worker
👩🏿‍⚕	dark skin tone, doctor, health care, nurse, therapist, woman, woman health worker
🧑‍🚒	engine, fire, firefighter, firetruck, truck
🧑🏻‍🚒	engine, fire, firefighter, firetruck, light skin tone, truck
🧑🏼‍🚒	engine, fire, firefighter, firetruck, medium-light skin tone, truck
🧑🏽‍🚒	engine, fire, firefighter, firetruck, medium skin tone, truck
🧑🏾‍🚒	engine, fire, firefighter, firetruck, medium-dark skin tone, truck
🧑🏿‍🚒	dark skin tone, engine, fire, firefighter, firetruck, truck
👨‍🚒	fire truck, firefighter, fireman, man
👨🏻‍🚒	fire truck, firefighter, fireman, light skin tone, man
👨🏼‍🚒	fire truck, firefighter, fireman, man, medium-light skin tone
👨🏽‍🚒	fire truck, firefighter, fireman, man, medium skin tone
👨🏾‍🚒	fire truck, firefighter, fireman, man, medium-dark skin tone
👨🏿‍🚒	dark skin tone, fire truck, firefighter, fireman, man
👩‍🚒	engine, fire, firefighter, firetruck, firewoman, truck, woman
👩🏻‍🚒	engine, fire, firefighter, firetruck, firewoman, light skin tone, truck, woman
👩🏼‍🚒	engine, fire, firefighter, firetruck, firewoman, medium-light skin tone, truck, woman
👩🏽‍🚒	engine, fire, firefighter, firetruck, firewoman, medium skin tone, truck, woman
👩🏾‍🚒	engine, fire, firefighter, firetruck, firewoman, medium-dark skin tone, truck, woman
👩🏿‍🚒	dark skin tone, engine, fire, firefighter, firetruck, firewoman, truck, woman
🕵️	detective, private eye, sleuth, spy
🕵🏻	detective, light skin tone, private eye, sleuth, spy
🕵🏼	detective, medium-light skin tone, private eye, sleuth, spy
🕵🏽	detective, medium skin tone, private eye, sleuth, spy
🕵🏾	detective, medium-dark skin tone, private eye, sleuth, spy
🕵🏿	dark skin tone, detective, private eye, sleuth, spy
🫅	king, monarch, noble, person with crown, queen, regal, royalty
🫅🏻	king, light skin tone, monarch, noble, person with crown, queen, regal, royalty
🫅🏼	king, medium-light skin tone, monarch, noble, person with crown, queen, regal, royalty
🫅🏽	king, medium skin tone, monarch, noble, person with crown, queen, regal, royalty
🫅🏾	king, medium-dark skin tone, monarch, noble, person with crown, queen, regal, royalty
🫅🏿	dark skin tone, king, monarch, noble, person with crown, queen, regal, royalty
🤴	fairy tale, fantasy, prince
🤴🏻	fairy tale, fantasy, light skin tone, prince
🤴🏼	fairy tale, fantasy, medium-light skin tone, prince
🤴🏽	fairy tale, fantasy, medium skin tone, prince
🤴🏾	fairy tale, fantasy, medium-dark skin tone, prince
🤴🏿	dark skin tone, fairy tale, fantasy, prince
🎅	Christmas, Claus, Father, Santa, celebration
🎅🏻	Christmas, Claus, Father, Santa, celebration, light skin tone
🎅🏼	Christmas, Claus, Father, Santa, celebration, medium-light skin tone
🎅🏽	Christmas, Claus, Father, Santa, celebration, medium skin tone
🎅🏾	Christmas, Claus, Father, Santa, celebration, medium-dark skin tone
🎅🏿	Christmas, Claus, Father, Santa, celebration, dark skin tone
🤶	Christmas, Claus, Mother, Mrs., celebration
🤶🏻	Christmas, Claus, Mother, Mrs., celebration, light skin tone
🤶🏼	Christmas, Claus, Mother, Mrs., celebration, medium-light skin tone
🤶🏽	Christmas, Claus, Mother, Mrs., celebration, medium skin tone
🤶🏾	Christmas, Claus, Mother, Mrs., celebration, medium-dark skin tone
🤶🏿	Christmas, Claus, Mother, Mrs., celebration, dark skin tone
🧑‍🎄	Christmas, Claus, Mx. Claus
🧑🏻‍🎄	Christmas, Claus, Mx. Claus, Mx. Claus: light skin tone, light skin tone
🧑🏼‍🎄	Christmas, Claus, Mx. Claus, Mx. Claus: medium-light skin tone, medium-light skin tone
🧑🏽‍🎄	Christmas, Claus, Mx. Claus, Mx. Claus: medium skin tone, medium skin tone
🧑🏾‍🎄	Christmas, Claus, Mx. Claus, Mx. Claus: medium-dark skin tone, medium-dark skin tone
🧑🏿‍🎄	Christmas, Claus, Mx. Claus, Mx. Claus: dark skin tone, dark skin tone
💇	barber, beauty, haircut, parlor, parlour, person getting haircut, salon
💇🏻	barber, beauty, haircut, light skin tone, parlor, parlour, person getting haircut, salon
💇🏼	barber, beauty, haircut, medium-light skin tone, parlor, parlour, person getting haircut, salon
💇🏽	barber, beauty, haircut, medium skin tone, parlor, parlour, person getting haircut, salon
💇🏾	barber, beauty, haircut, medium-dark skin tone, parlor, parlour, person getting haircut, salon
💇🏿	barber, beauty, dark skin tone, haircut, parlor, parlour, person getting haircut, salon
🏋️	lifter, person lifting weights, weight, weightlifter
🏋🏻	lifter, light skin tone, person lifting weights, weight, weightlifter
🏋🏼	lifter, medium-light skin tone, person lifting weights, weight, weightlifter
🏋🏽	lifter, medium skin tone, person lifting weights, weight, weightlifter
🏋🏾	lifter, medium-dark skin tone, person lifting weights, weight, weightlifter
🏋🏿	dark skin tone, lifter, person lifting weights, weight, weightlifter
🤹	balance, juggle, multi-task, multitask, person juggling, skill
🤹🏻	balance, juggle, light skin tone, multi-task, multitask, person juggling, skill
🤹🏼	balance, juggle, medium-light skin tone, multi-task, multitask, person juggling, skill
🤹🏽	balance, juggle, medium skin tone, multi-task, multitask, person juggling, skill
🤹🏾	balance, juggle, medium-dark skin tone, multi-task, multitask, person juggling, skill
🤹🏿	balance, dark skin tone, juggle, multi-task, multitask, person juggling, skill
🤹‍♂	juggling, man, multi-task, multitask
🤹🏻‍♂	juggling, light skin tone, man, multi-task, multitask
🤹🏼‍♂	juggling, man, medium-light skin tone, multi-task, multitask
🤹🏽‍♂	juggling, man, medium skin tone, multi-task, multitask
🤹🏾‍♂	juggling, man, medium-dark skin tone, multi-task, multitask
🤹🏿‍♂	dark skin tone, juggling, man, multi-task, multitask
🤹‍♀	juggling, multi-task, multitask, woman
🤹🏻‍♀	juggling, light skin tone, multi-task, multitask, woman
🤹🏼‍♀	juggling, medium-light skin tone, multi-task, multitask, woman
🤹🏽‍♀	juggling, medium skin tone, multi-task, multitask, woman
🤹🏾‍♀	juggling, medium-dark skin tone, multi-task, multitask, woman
🤹🏿‍♀	dark skin tone, juggling, multi-task, multitask, woman
👬	Gemini, couple, holding hands, men holding hands, twins, zodiac
👬🏻	Gemini, couple, holding hands, light skin tone, men holding hands, twins, zodiac
👨🏻‍🤝‍👨🏼	Gemini, couple, holding hands, light skin tone, medium-light skin tone, men holding hands, twins, zodiac
👨🏻‍🤝‍👨🏽	Gemini, couple, holding hands, light skin tone, medium skin tone, men holding hands, twins, zodiac
👨🏻‍🤝‍👨🏾	Gemini, couple, holding hands, light skin tone, medium-dark skin tone, men holding hands, twins, zodiac
👨🏻‍🤝‍👨🏿	Gemini, couple, dark skin tone, holding hands, light skin tone, men holding hands, twins, zodiac
👨🏼‍🤝‍👨🏻	Gemini, couple, holding hands, light skin tone, medium-light skin tone, men holding hands, twins, zodiac
👬🏼	Gemini, couple, holding hands, medium-light skin tone, men holding hands, twins, zodiac
👨🏼‍🤝‍👨🏽	Gemini, couple, holding hands, medium skin tone, medium-light skin tone, men holding hands, twins, zodiac
👨🏼‍🤝‍👨🏾	Gemini, couple, holding hands, medium-dark skin tone, medium-light skin tone, men holding hands, twins, zodiac
👨🏼‍🤝‍👨🏿	Gemini, couple, dark skin tone, holding hands, medium-light skin tone, men holding hands, twins, zodiac
👨🏽‍🤝‍👨🏻	Gemini, couple, holding hands, light skin tone, medium skin tone, men holding hands, twins, zodiac
👨🏽‍🤝‍👨🏼	Gemini, couple, holding hands, medium skin tone, medium-light skin tone, men holding hands, twins, zodiac
👬🏽	Gemini, couple, holding hands, medium skin tone, men holding hands, twins, zodiac
👨🏽‍🤝‍👨🏾	Gemini, couple, holding hands, medium skin tone, medium-dark skin tone, men holding hands, twins, zodiac
👨🏽‍🤝‍👨🏿	Gemini, couple, dark skin tone, holding hands, medium skin tone, men holding hands, twins, zodiac
👨🏾‍🤝‍👨🏻	Gemini, couple, holding hands, light skin tone, medium-dark skin tone, men holding hands, twins, zodiac
👨🏾‍🤝‍👨🏼	Gemini, couple, holding hands, medium-dark skin tone, medium-light skin tone, men holding hands, twins, zodiac
👨🏾‍🤝‍👨🏽	Gemini, couple, holding hands, medium skin tone, medium-dark skin tone, men holding hands, twins, zodiac
👬🏾	Gemini, couple, holding hands, medium-dark skin tone, men holding hands, twins, zodiac
👨🏾‍🤝‍👨🏿	Gemini, couple, dark skin tone, holding hands, medium-dark skin tone, men holding hands, twins, zodiac
👨🏿‍🤝‍👨🏻	Gemini, couple, dark skin tone, holding hands, light skin tone, men holding hands, twins, zodiac
👨🏿‍🤝‍👨🏼	Gemini, couple, dark skin tone, holding hands, medium-light skin tone, men holding hands, twins, zodiac
